description,group,mean,sd,q05,q95
age(c) coef transformed_MMSE_loss,CN,0.011,0.005,0.003,0.019
age(c) coef transformed_MMSE_loss,MCI,0.009,0.004,0.001,0.016
age(c) coef transformed_MMSE_loss,AD,-0.001,0.004,-0.008,0.006
male coef transformed_MMSE_loss,CN,0.079,0.048,-0.001,0.158
male coef transformed_MMSE_loss,MCI,-0.133,0.065,-0.24,-0.028
male coef transformed_MMSE_loss,AD,0.093,0.067,-0.017,0.206
age(c) coef ANTsSST,CN,-0.07,0.017,-0.099,-0.042
age(c) coef ANTsSST,MCI,-0.062,0.012,-0.082,-0.043
age(c) coef ANTsSST,AD,-0.094,0.018,-0.124,-0.064
male coef ANTsSST,CN,0.289,0.168,0.011,0.565
male coef ANTsSST,MCI,0.222,0.173,-0.06,0.504
male coef ANTsSST,AD,0.264,0.271,-0.187,0.699
random intercept mean transformed_MMSE_loss,CN,-0.856,0.04,-0.92,-0.791
random intercept mean transformed_MMSE_loss,MCI,0.045,0.052,-0.042,0.131
random intercept mean transformed_MMSE_loss,AD,0.677,0.047,0.6,0.755
random slope mean transformed_MMSE_loss,CN,0.019,0.017,-0.008,0.047
random slope mean transformed_MMSE_loss,MCI,0.147,0.02,0.115,0.18
random slope mean transformed_MMSE_loss,AD,0.308,0.033,0.253,0.361
random intercept mean ANTsSST,CN,7.995,0.122,7.798,8.197
random intercept mean ANTsSST,MCI,7.117,0.141,6.884,7.352
random intercept mean ANTsSST,AD,6.192,0.192,5.872,6.505
random slope mean ANTsSST,CN,-0.032,0.016,-0.059,-0.006
random slope mean ANTsSST,MCI,-0.11,0.014,-0.133,-0.087
random slope mean ANTsSST,AD,-0.168,0.028,-0.214,-0.123
random intercept sd transformed_MMSE_loss,CN,0.239,0.032,0.188,0.291
random intercept sd transformed_MMSE_loss,MCI,0.452,0.028,0.408,0.499
random intercept sd transformed_MMSE_loss,AD,0.317,0.031,0.266,0.368
random slope sd transformed_MMSE_loss,CN,0.05,0.029,0.007,0.101
random slope sd transformed_MMSE_loss,MCI,0.205,0.022,0.17,0.242
random slope sd transformed_MMSE_loss,AD,0.266,0.034,0.211,0.323
random intercept sd ANTsSST,CN,1.16,0.062,1.062,1.265
random intercept sd ANTsSST,MCI,1.503,0.061,1.407,1.607
random intercept sd ANTsSST,AD,1.632,0.102,1.476,1.808
random slope sd ANTsSST,CN,0.095,0.028,0.048,0.139
random slope sd ANTsSST,MCI,0.078,0.021,0.043,0.113
random slope sd ANTsSST,AD,0.057,0.042,0.004,0.137
error/residual sd transformed_MMSE_loss,CN,0.441,0.014,0.418,0.465
error/residual sd transformed_MMSE_loss,MCI,0.408,0.011,0.391,0.426
error/residual sd transformed_MMSE_loss,AD,0.273,0.015,0.25,0.299
error/residual sd ANTsSST,CN,0.353,0.013,0.332,0.374
error/residual sd ANTsSST,MCI,0.367,0.009,0.352,0.382
error/residual sd ANTsSST,AD,0.357,0.016,0.332,0.384
"random effects correlation 1,2",CN,0.048,0.366,-0.531,0.673
"random effects correlation 1,2",MCI,0.497,0.134,0.276,0.716
"random effects correlation 1,2",AD,0.435,0.164,0.169,0.708
"random effects correlation 1,3",CN,0.136,0.122,-0.069,0.335
"random effects correlation 1,3",MCI,-0.214,0.067,-0.32,-0.1
"random effects correlation 1,3",AD,-0.461,0.091,-0.606,-0.304
"random effects correlation 1,4",CN,0.188,0.24,-0.217,0.573
"random effects correlation 1,4",MCI,-0.124,0.207,-0.476,0.206
"random effects correlation 1,4",AD,-0.252,0.385,-0.802,0.474
"random effects correlation 2,3",CN,-0.203,0.31,-0.709,0.31
"random effects correlation 2,3",MCI,-0.443,0.087,-0.585,-0.299
"random effects correlation 2,3",AD,-0.252,0.124,-0.45,-0.038
"random effects correlation 2,4",CN,-0.34,0.368,-0.849,0.355
"random effects correlation 2,4",MCI,-0.699,0.165,-0.915,-0.405
"random effects correlation 2,4",AD,-0.094,0.396,-0.72,0.593
"random effects correlation 3,4",CN,0.382,0.197,0.077,0.73
"random effects correlation 3,4",MCI,0.459,0.181,0.168,0.764
"random effects correlation 3,4",AD,0.24,0.372,-0.441,0.787
"error/residual correlation 1,2",CN,-0.021,0.047,-0.097,0.058
"error/residual correlation 1,2",MCI,0.01,0.036,-0.05,0.069
"error/residual correlation 1,2",AD,-0.092,0.069,-0.205,0.024
