parameter,mean,sd,q05,q95,rhat,ess
"L_Rho_beta[3,2,2]",0.841,0.092,0.67,0.961,1.003,2248
"L_Rho_beta[1,3,2]",-0.026,0.266,-0.48,0.402,1.03,236
"L_Rho_beta[2,3,2]",-0.134,0.102,-0.292,0.039,1.008,336
"L_Rho_beta[3,3,2]",0.079,0.152,-0.154,0.335,1.005,980
"L_Rho_beta[1,4,2]",-0.344,0.297,-0.758,0.214,1.007,581
"L_Rho_beta[2,4,2]",-0.652,0.114,-0.827,-0.453,1.002,1146
"L_Rho_beta[3,4,2]",-0.266,0.266,-0.678,0.2,1.001,4368
"L_Rho_beta[1,5,2]",0.002,0.268,-0.45,0.44,1.017,325
"L_Rho_beta[2,5,2]",-0.239,0.1,-0.4,-0.073,1.028,265
"L_Rho_beta[3,5,2]",-0.074,0.149,-0.31,0.178,1.003,1169
"L_Rho_beta[1,6,2]",-0.284,0.32,-0.745,0.315,1.004,774
"L_Rho_beta[2,6,2]",-0.66,0.181,-0.905,-0.324,1,3558
"L_Rho_beta[3,6,2]",0.049,0.346,-0.546,0.606,1,7632
"L_Rho_beta[1,3,3]",0.938,0.076,0.787,0.996,1.009,483
"L_Rho_beta[2,3,3]",0.942,0.019,0.909,0.971,1.002,1187
"L_Rho_beta[3,3,3]",0.866,0.067,0.746,0.95,1.003,1176
"L_Rho_beta[1,4,3]",0.285,0.165,0.003,0.539,1.012,684
"L_Rho_beta[2,4,3]",0.07,0.079,-0.056,0.202,1.001,1572
"L_Rho_beta[3,4,3]",0.139,0.231,-0.227,0.528,1,4696
"L_Rho_beta[1,5,3]",0.363,0.111,0.17,0.518,1.005,643
"L_Rho_beta[2,5,3]",0.478,0.047,0.401,0.552,1.002,1522
"L_Rho_beta[3,5,3]",0.469,0.085,0.324,0.597,1.002,2177
"L_Rho_beta[1,6,3]",0.311,0.199,-0.034,0.63,1.006,985
"L_Rho_beta[2,6,3]",-0.008,0.163,-0.272,0.269,1,3106
"L_Rho_beta[3,6,3]",-0.046,0.327,-0.574,0.504,1,7881
"L_Rho_beta[1,4,4]",0.795,0.134,0.521,0.952,1.001,1561
"L_Rho_beta[2,4,4]",0.598,0.102,0.414,0.741,1.002,940
"L_Rho_beta[3,4,4]",0.827,0.138,0.551,0.977,1.002,2597
"L_Rho_beta[1,5,4]",0.335,0.18,0.042,0.64,1.007,573
"L_Rho_beta[2,5,4]",-0.055,0.13,-0.272,0.136,1.021,214
"L_Rho_beta[3,5,4]",0.134,0.209,-0.202,0.494,1.005,371
"L_Rho_beta[1,6,4]",0.55,0.225,0.133,0.857,1.002,2610
"L_Rho_beta[2,6,4]",0.319,0.238,-0.099,0.672,1,2104
"L_Rho_beta[3,6,4]",-0.026,0.377,-0.643,0.599,1,5881
"L_Rho_beta[1,5,5]",0.776,0.118,0.54,0.897,1.007,511
"L_Rho_beta[2,5,5]",0.797,0.047,0.723,0.854,1.012,371
"L_Rho_beta[3,5,5]",0.683,0.086,0.524,0.784,1.006,722
"L_Rho_beta[1,6,5]",-0.011,0.194,-0.321,0.316,1.002,3819
"L_Rho_beta[2,6,5]",0.277,0.165,0.009,0.542,1.001,3766
"L_Rho_beta[3,6,5]",0.176,0.331,-0.416,0.679,1,7133
"L_Rho_beta[1,6,6]",0.428,0.184,0.129,0.732,1,5094
"L_Rho_beta[2,6,6]",0.399,0.177,0.111,0.693,1,5577
"L_Rho_beta[3,6,6]",0.532,0.22,0.159,0.875,1,5846
"L_Rho_epsilon[1,2,1]",0.03,0.049,-0.051,0.112,1,3869
"L_Rho_epsilon[2,2,1]",0.016,0.038,-0.046,0.079,1,4090
"L_Rho_epsilon[3,2,1]",-0.017,0.074,-0.138,0.105,1,5684
"L_Rho_epsilon[1,3,1]",-0.035,0.046,-0.111,0.041,1.001,5594
"L_Rho_epsilon[2,3,1]",-0.008,0.036,-0.067,0.051,1,7458
"L_Rho_epsilon[3,3,1]",-0.114,0.07,-0.231,0.001,1,7903
"L_Rho_epsilon[1,2,2]",0.998,0.002,0.994,1,1.001,4598
"L_Rho_epsilon[2,2,2]",0.999,0.001,0.997,1,1,6165
"L_Rho_epsilon[3,2,2]",0.997,0.004,0.989,1,1,6958
"L_Rho_epsilon[1,3,2]",0.238,0.048,0.159,0.314,1,6470
"L_Rho_epsilon[2,3,2]",0.146,0.035,0.088,0.203,1.001,7991
"L_Rho_epsilon[3,3,2]",0.149,0.065,0.045,0.256,1.001,6303
"L_Rho_epsilon[1,3,3]",0.968,0.012,0.947,0.986,1.001,6409
"L_Rho_epsilon[2,3,3]",0.988,0.005,0.978,0.996,1,8010
"L_Rho_epsilon[3,3,3]",0.978,0.014,0.951,0.996,1.001,6493
"z[1,1]",0.184,0.649,-0.884,1.252,1,7643
"z[2,1]",0.057,0.656,-1.022,1.113,1,5408
"z[3,1]",-0.381,0.74,-1.562,0.871,1,6062
"z[4,1]",1.074,0.782,-0.256,2.339,1.001,2515
"z[5,1]",-0.632,0.688,-1.758,0.481,1.002,2962
"z[6,1]",-0.311,0.641,-1.346,0.749,1,8327
"z[7,1]",-1.004,0.748,-2.205,0.242,1.001,7665
"z[8,1]",-0.263,0.784,-1.545,1.012,1,7657
"z[9,1]",1.254,0.828,-0.126,2.572,1.005,1159
"z[10,1]",-1.074,0.654,-2.153,-0,1.001,4298
"z[11,1]",0.623,0.738,-0.606,1.827,1.001,3384
"z[12,1]",-0.75,0.712,-1.938,0.422,1,4268
"z[13,1]",0.902,0.717,-0.29,2.073,1,8425
"z[14,1]",-0.354,0.685,-1.487,0.763,1,8089
"z[15,1]",-0.132,0.674,-1.224,0.982,1,7347
"z[16,1]",0.546,0.678,-0.565,1.645,1.001,7143
"z[17,1]",1.614,0.816,0.257,2.947,1.001,6798
"z[18,1]",-0.037,0.777,-1.302,1.227,1.002,3179
"z[19,1]",-0.13,0.81,-1.506,1.163,1,2306
"z[20,1]",0.613,0.731,-0.625,1.808,1.001,8306
"z[21,1]",0.093,0.79,-1.198,1.398,1,9100
"z[22,1]",-0.727,0.725,-1.92,0.469,1,7421
"z[23,1]",-0.039,0.731,-1.23,1.171,1,8611
"z[24,1]",-0.053,0.648,-1.132,1.021,1.001,4302
"z[25,1]",-0.69,0.728,-1.879,0.503,1.001,2278
"z[26,1]",-0.58,0.708,-1.753,0.582,1,8215
"z[27,1]",0.958,0.705,-0.214,2.105,1.001,5631
"z[28,1]",-0.212,0.681,-1.32,0.904,1,6463
"z[29,1]",0.83,0.797,-0.473,2.126,1,8629
"z[30,1]",0.985,0.754,-0.236,2.226,1,4014
"z[31,1]",-0.143,0.647,-1.211,0.919,1,6811
"z[32,1]",1.856,0.698,0.711,3.002,1,8422
"z[33,1]",-0.695,0.668,-1.784,0.403,1,8777
"z[34,1]",1.486,0.837,0.093,2.85,1,6395
"z[35,1]",-0.05,0.662,-1.144,1.045,1.001,6280
"z[36,1]",0.505,0.789,-0.794,1.801,1.001,7064
"z[37,1]",0.183,0.688,-0.963,1.295,1,5872
"z[38,1]",0.276,0.741,-0.947,1.505,1.002,4254
"z[39,1]",-0.268,0.692,-1.395,0.881,1,6012
"z[40,1]",0.167,0.669,-0.923,1.259,1,8470
"z[41,1]",-0.529,0.722,-1.71,0.648,1.001,6221
"z[42,1]",-0.753,0.658,-1.825,0.34,1,5851
"z[43,1]",-0.272,0.704,-1.434,0.881,1,5371
"z[44,1]",-0.268,0.721,-1.464,0.917,1,7912
"z[45,1]",-0.338,0.784,-1.606,0.969,1,8848
"z[46,1]",-0.186,0.655,-1.274,0.897,1.001,6181
"z[47,1]",1.37,0.74,0.145,2.561,1.001,4855
"z[48,1]",-0.373,0.718,-1.545,0.826,1,8570
"z[49,1]",-0.074,0.681,-1.197,1.049,1.003,3100
"z[50,1]",-0.45,0.681,-1.56,0.667,1.001,6474
"z[51,1]",-0.673,0.683,-1.778,0.433,1,7540
"z[52,1]",-0.825,0.683,-1.929,0.31,1,8522
"z[53,1]",-0.825,0.636,-1.877,0.207,1.001,8613
"z[54,1]",-0.575,0.68,-1.687,0.555,1,7627
"z[55,1]",-0.981,0.695,-2.118,0.185,1,5509
"z[56,1]",-0.139,0.678,-1.249,0.976,1,5779
"z[57,1]",-0.328,0.707,-1.503,0.835,1,3570
"z[58,1]",-0.605,0.631,-1.632,0.446,1,7156
"z[59,1]",-0.402,0.631,-1.429,0.623,1,8015
"z[60,1]",-0.407,0.681,-1.519,0.719,1,5756
"z[61,1]",-0.034,0.645,-1.086,1.018,1,6715
"z[62,1]",0.967,0.692,-0.168,2.094,1,8040
"z[63,1]",-0.124,0.653,-1.201,0.946,1,5134
"z[64,1]",-0.266,0.668,-1.355,0.85,1.002,3213
"z[65,1]",-0.697,0.649,-1.759,0.382,1,4955
"z[66,1]",-0.607,0.651,-1.676,0.466,1.002,4030
"z[67,1]",-0.319,0.725,-1.511,0.887,1,9014
"z[68,1]",0.099,0.777,-1.151,1.373,1,5684
"z[69,1]",-0.978,0.665,-2.062,0.115,1,8626
"z[70,1]",0.239,0.707,-0.949,1.376,1,3296
"z[71,1]",0.144,0.639,-0.902,1.192,1.001,7299
"z[72,1]",1.723,0.735,0.5,2.92,1,7360
"z[73,1]",0.021,0.647,-1.041,1.082,1,8457
"z[74,1]",2.153,0.676,1.008,3.253,1.001,3417
"z[75,1]",0.55,0.701,-0.611,1.714,1.003,1811
"z[76,1]",0.004,0.687,-1.125,1.124,1,6656
"z[77,1]",2.336,0.742,1.14,3.551,1,7509
"z[78,1]",-0.476,0.704,-1.635,0.675,1.001,3824
"z[79,1]",0.046,0.681,-1.059,1.178,1,6969
"z[80,1]",1.088,0.651,0.008,2.143,1.001,8085
"z[81,1]",-0.498,0.671,-1.586,0.61,1,7793
"z[82,1]",-0.737,0.685,-1.859,0.409,1.004,1922
"z[83,1]",-0.578,0.712,-1.743,0.589,1,8936
"z[84,1]",-0.621,0.652,-1.718,0.441,1.001,7418
"z[85,1]",0.608,0.655,-0.459,1.694,1.001,4172
"z[86,1]",0.567,0.678,-0.524,1.695,1,8358
"z[87,1]",-0.168,0.686,-1.305,0.963,1,6938
"z[88,1]",1.068,0.67,-0.049,2.153,1.001,5220
"z[89,1]",-0.706,0.686,-1.826,0.42,1,7226
"z[90,1]",0.825,0.733,-0.395,2.032,1,7670
"z[91,1]",-0.088,0.788,-1.38,1.205,1,8643
"z[92,1]",-0.242,0.652,-1.297,0.845,1,8540
"z[93,1]",-0.147,0.632,-1.176,0.904,1.001,8843
"z[94,1]",0.471,0.754,-0.769,1.722,1,5293
"z[95,1]",-0.784,0.709,-1.936,0.365,1.001,3958
"z[96,1]",0.325,0.731,-0.885,1.518,1,7210
"z[97,1]",-0.252,0.738,-1.456,0.957,1.001,5710
"z[98,1]",0.082,0.714,-1.116,1.241,1.001,4724
"z[99,1]",0.938,0.661,-0.144,2.031,1,5748
"z[100,1]",1.552,0.698,0.411,2.691,1.001,3420
"z[101,1]",-0.311,0.713,-1.506,0.853,1,4851
"z[102,1]",-0.507,0.631,-1.55,0.547,1.001,7588
"z[103,1]",-0.646,0.629,-1.683,0.384,1,8775
"z[104,1]",-0.398,0.682,-1.5,0.716,1,8759
"z[105,1]",0.454,0.667,-0.652,1.56,1,8603
"z[106,1]",-0.09,0.649,-1.14,0.977,1,4804
"z[107,1]",-0.432,0.647,-1.488,0.621,1,6217
"z[108,1]",0.945,0.691,-0.204,2.079,1.001,4830
"z[109,1]",-0.191,0.678,-1.305,0.914,1,7277
"z[110,1]",0.001,0.738,-1.208,1.224,1,5414
"z[111,1]",-0.257,0.682,-1.381,0.868,1,8314
"z[112,1]",-0.6,0.694,-1.726,0.543,1,5423
"z[113,1]",0.396,0.796,-0.929,1.704,1,8803
"z[114,1]",0.168,0.726,-1.032,1.368,1,7846
"z[115,1]",0.562,0.732,-0.652,1.775,1,8362
"z[116,1]",1.235,0.733,0.035,2.472,1,7639
"z[117,1]",-0.438,0.712,-1.596,0.742,1,9025
"z[118,1]",-0.152,0.799,-1.466,1.162,1,8296
"z[119,1]",0.224,0.652,-0.848,1.297,1.001,5610
"z[120,1]",0.244,0.645,-0.831,1.303,1,7156
"z[121,1]",-0.711,0.641,-1.764,0.338,1,7653
"z[122,1]",-0.18,0.727,-1.398,1.02,1,8790
"z[123,1]",-0.617,0.728,-1.791,0.592,1,7742
"z[124,1]",-0.455,0.742,-1.676,0.765,1,5960
"z[125,1]",-0.964,0.803,-2.289,0.337,1,8145
"z[126,1]",-0.534,0.7,-1.704,0.598,1.001,2493
"z[127,1]",-0.271,0.721,-1.461,0.92,1,8473
"z[128,1]",1.702,0.732,0.483,2.906,1,6729
"z[129,1]",1.177,0.801,-0.147,2.486,1.001,8823
"z[130,1]",-0.57,0.659,-1.643,0.516,1.001,4612
"z[131,1]",-0.58,0.645,-1.628,0.475,1,5554
"z[132,1]",-0.608,0.648,-1.661,0.468,1,6380
"z[133,1]",0.267,0.718,-0.915,1.45,1.001,3492
"z[134,1]",0.221,0.672,-0.881,1.327,1,8061
"z[135,1]",-0.797,0.748,-2.023,0.443,1.002,2569
"z[136,1]",0.589,0.703,-0.579,1.742,1,8358
"z[137,1]",-0.751,0.732,-1.97,0.445,1,8022
"z[138,1]",-0.68,0.674,-1.784,0.423,1,7099
"z[139,1]",-0.474,0.681,-1.599,0.656,1,7126
"z[140,1]",0.277,0.718,-0.917,1.451,1.001,8623
"z[141,1]",0.412,0.741,-0.806,1.636,1.002,4762
"z[142,1]",-0.468,0.699,-1.604,0.693,1.001,4653
"z[143,1]",0.015,0.805,-1.32,1.325,1,6938
"z[144,1]",0.436,0.73,-0.761,1.633,1,7569
"z[145,1]",0.125,0.786,-1.142,1.456,1.002,2550
"z[146,1]",-0.78,0.727,-1.969,0.426,1,8446
"z[147,1]",-0.766,0.792,-2.081,0.519,1,7978
"z[148,1]",-0.339,0.675,-1.472,0.754,1,6060
"z[149,1]",-0.901,0.741,-2.134,0.319,1,5393
"z[150,1]",-0.221,0.674,-1.322,0.9,1,7148
"z[151,1]",-0.586,0.652,-1.676,0.47,1,6309
"z[152,1]",0.391,0.721,-0.788,1.581,1.003,2403
"z[153,1]",-0.116,0.683,-1.239,1.009,1,8260
"z[154,1]",0.703,0.64,-0.356,1.743,1,7511
"z[155,1]",0.021,0.669,-1.069,1.138,1,4165
"z[156,1]",-0.655,0.671,-1.776,0.45,1,8022
"z[157,1]",0.139,0.748,-1.083,1.372,1.001,6047
"z[158,1]",0.211,0.725,-0.989,1.391,1,8875
"z[159,1]",-0.009,0.733,-1.221,1.205,1,9133
"z[160,1]",0.253,0.666,-0.845,1.348,1,8362
"z[161,1]",0.201,0.803,-1.103,1.509,1,7286
"z[162,1]",-0.127,0.691,-1.257,1.019,1,7036
"z[163,1]",-0.159,0.672,-1.248,0.943,1.001,5080
"z[164,1]",-0.279,0.728,-1.46,0.914,1,7133
"z[165,1]",0.244,0.705,-0.909,1.403,1.002,3218
"z[166,1]",-0.652,0.709,-1.831,0.511,1.002,2645
"z[167,1]",-0.242,0.791,-1.558,1.055,1,8527
"z[168,1]",0.943,0.727,-0.262,2.125,1.001,6432
"z[169,1]",0.285,0.78,-0.977,1.587,1,8661
"z[170,1]",1.315,0.73,0.117,2.511,1,7719
"z[171,1]",-0.597,0.68,-1.719,0.506,1,8694
"z[172,1]",-0.473,0.806,-1.797,0.86,1.001,2715
"z[173,1]",-0.358,0.737,-1.558,0.865,1,7518
"z[174,1]",0.372,0.804,-0.952,1.677,1.001,8358
"z[175,1]",-0.741,0.736,-1.964,0.465,1.003,2020
"z[176,1]",-0.282,0.713,-1.455,0.9,1,7578
"z[177,1]",-0.75,0.655,-1.827,0.327,1,4798
"z[178,1]",1.692,0.711,0.525,2.851,1,6913
"z[179,1]",0.732,0.682,-0.405,1.837,1,6728
"z[180,1]",-0.315,0.803,-1.635,0.984,1,8353
"z[181,1]",-0.709,0.74,-1.915,0.514,1,7301
"z[182,1]",1.799,0.902,0.276,3.254,1.002,2151
"z[183,1]",1.41,0.694,0.281,2.541,1,7379
"z[184,1]",0.064,0.729,-1.137,1.268,1,3269
"z[185,1]",0.241,0.708,-0.892,1.417,1,8548
"z[186,1]",0.573,0.656,-0.464,1.661,1,5317
"z[187,1]",-0.457,0.637,-1.485,0.586,1,8425
"z[188,1]",0.039,0.675,-1.089,1.149,1,8109
"z[189,1]",0.148,0.683,-0.972,1.275,1,7954
"z[190,1]",-0.952,0.751,-2.193,0.266,1.001,4643
"z[191,1]",0.263,0.876,-1.167,1.712,1,7892
"z[192,1]",0.181,0.793,-1.096,1.483,1.001,8582
"z[193,1]",-0.057,0.794,-1.369,1.242,1.001,7205
"z[194,1]",-0.466,0.727,-1.673,0.718,1.001,7209
"z[195,1]",-0.941,0.674,-2.034,0.166,1,8701
"z[196,1]",-0.235,0.676,-1.358,0.872,1,7831
"z[197,1]",-1.246,0.718,-2.403,-0.057,1.003,1902
"z[198,1]",0.328,0.485,-0.458,1.135,1,4644
"z[199,1]",-0.964,0.466,-1.728,-0.205,1,6936
"z[200,1]",0.244,0.537,-0.63,1.136,1,7428
"z[201,1]",0.336,0.732,-0.903,1.515,1.002,1881
"z[202,1]",-0.323,0.469,-1.09,0.462,1,6741
"z[203,1]",-1.075,0.46,-1.831,-0.315,1,6463
"z[204,1]",-0.549,0.479,-1.325,0.237,1,8167
"z[205,1]",0.149,0.504,-0.664,0.989,1,8322
"z[206,1]",-0.933,0.52,-1.792,-0.076,1,8175
"z[207,1]",-1.053,0.459,-1.803,-0.3,1,7864
"z[208,1]",0.324,0.485,-0.468,1.125,1,6760
"z[209,1]",0.646,0.481,-0.149,1.427,1,5414
"z[210,1]",-0.192,0.479,-0.96,0.609,1.001,6192
"z[211,1]",-0.687,0.515,-1.53,0.174,1.001,7416
"z[212,1]",-0.024,0.518,-0.869,0.85,1,6090
"z[213,1]",-0.511,0.508,-1.341,0.323,1,7470
"z[214,1]",0.089,0.562,-0.833,1.018,1,6435
"z[215,1]",-0.52,0.499,-1.322,0.299,1,7955
"z[216,1]",0.452,0.459,-0.278,1.217,1,6321
"z[217,1]",-0.59,0.472,-1.359,0.201,1.001,6432
"z[218,1]",-0.57,0.487,-1.37,0.219,1,7222
"z[219,1]",-0.834,0.479,-1.638,-0.058,1.001,4081
"z[220,1]",0.792,0.501,-0.022,1.628,1.001,4236
"z[221,1]",1.373,0.547,0.466,2.267,1,8142
"z[222,1]",-0.008,0.474,-0.773,0.781,1,7020
"z[223,1]",-0.967,0.462,-1.74,-0.208,1.001,7469
"z[224,1]",-0.58,0.5,-1.394,0.251,1,8127
"z[225,1]",-0.64,0.482,-1.446,0.141,1.001,4170
"z[226,1]",0.192,0.463,-0.566,0.957,1,7081
"z[227,1]",0.262,0.492,-0.528,1.097,1,4520
"z[228,1]",0.061,0.473,-0.715,0.843,1.001,5445
"z[229,1]",0.852,0.483,0.064,1.65,1,6812
"z[230,1]",0.782,0.479,0.011,1.573,1,7341
"z[231,1]",0.47,0.485,-0.332,1.251,1,3923
"z[232,1]",-0.114,0.462,-0.876,0.636,1.001,6857
"z[233,1]",-0.108,0.477,-0.897,0.667,1,6295
"z[234,1]",-0.158,0.464,-0.909,0.604,1,5916
"z[235,1]",0.052,0.467,-0.719,0.821,1,7040
"z[236,1]",-0.255,0.498,-1.08,0.568,1,8446
"z[237,1]",-0.696,0.474,-1.483,0.085,1.001,6425
"z[238,1]",1.879,0.496,1.055,2.686,1,4370
"z[239,1]",-0.674,0.473,-1.442,0.121,1.001,7493
"z[240,1]",-0.107,0.48,-0.907,0.684,1,7435
"z[241,1]",0.223,0.479,-0.557,1.01,1,7533
"z[242,1]",-0.415,0.566,-1.335,0.509,1.001,6748
"z[243,1]",0.16,0.501,-0.666,0.99,1,7530
"z[244,1]",-0.562,0.476,-1.332,0.231,1.001,8340
"z[245,1]",-1.481,0.552,-2.382,-0.56,1.001,7899
"z[246,1]",-0.72,0.475,-1.501,0.056,1.001,7805
"z[247,1]",-0.984,0.487,-1.794,-0.181,1,7868
"z[248,1]",0.286,0.516,-0.561,1.142,1.001,4932
"z[249,1]",-1.061,0.457,-1.814,-0.328,1.001,7579
"z[250,1]",-0.286,0.488,-1.078,0.518,1,8271
"z[251,1]",-0.161,0.5,-0.978,0.657,1,8413
"z[252,1]",0.03,0.516,-0.806,0.896,1.001,5642
"z[253,1]",1.071,0.523,0.211,1.928,1,5975
"z[254,1]",0.449,0.474,-0.334,1.231,1,7530
"z[255,1]",1.858,0.548,0.954,2.739,1.001,4984
"z[256,1]",-0.465,0.52,-1.331,0.376,1,6882
"z[257,1]",1.141,0.472,0.365,1.928,1,7376
"z[258,1]",-0.448,0.499,-1.274,0.367,1,8443
"z[259,1]",0.273,0.5,-0.544,1.09,1,4612
"z[260,1]",-1.016,0.473,-1.795,-0.242,1,6742
"z[261,1]",-0.785,0.509,-1.617,0.063,1,6284
"z[262,1]",-0.429,0.469,-1.195,0.345,1,6570
"z[263,1]",-0.691,0.545,-1.584,0.219,1,4978
"z[264,1]",0.069,0.45,-0.676,0.812,1,7575
"z[265,1]",-0.107,0.561,-1.031,0.824,1.001,8081
"z[266,1]",-0.678,0.469,-1.435,0.11,1,7568
"z[267,1]",-1.188,0.46,-1.935,-0.427,1,7466
"z[268,1]",1.469,0.653,0.391,2.54,1,6487
"z[269,1]",-0.054,0.517,-0.906,0.787,1.001,7794
"z[270,1]",0.83,0.499,0.008,1.649,1.001,7701
"z[271,1]",0.065,0.561,-0.842,0.984,1.001,8542
"z[272,1]",-0.302,0.508,-1.129,0.536,1.001,6937
"z[273,1]",0.693,0.563,-0.244,1.609,1,2864
"z[274,1]",1.398,0.474,0.649,2.191,1,4737
"z[275,1]",1.043,0.553,0.142,1.959,1,8310
"z[276,1]",-0.786,0.46,-1.544,-0.023,1,7386
"z[277,1]",2.321,0.498,1.505,3.129,1.001,5228
"z[278,1]",-0.086,0.486,-0.875,0.721,1.002,2127
"z[279,1]",-0.064,0.501,-0.886,0.766,1.001,5759
"z[280,1]",3.815,0.556,2.892,4.72,1.001,5041
