description,group,mean,sd,q05,q95
age(c) coef transformed_MMSE_loss,CN,0.011,0.005,0.002,0.019
age(c) coef transformed_MMSE_loss,MCI,0.009,0.004,0.002,0.016
age(c) coef transformed_MMSE_loss,AD,0,0.004,-0.007,0.008
male coef transformed_MMSE_loss,CN,0.081,0.048,-0,0.161
male coef transformed_MMSE_loss,MCI,-0.116,0.062,-0.217,-0.013
male coef transformed_MMSE_loss,AD,0.097,0.068,-0.014,0.209
age(c) coef FSLong,CN,-0.018,0.008,-0.031,-0.005
age(c) coef FSLong,MCI,-0.041,0.007,-0.053,-0.03
age(c) coef FSLong,AD,-0.048,0.01,-0.065,-0.031
male coef FSLong,CN,0.063,0.077,-0.062,0.191
male coef FSLong,MCI,0.222,0.107,0.047,0.395
male coef FSLong,AD,0.139,0.148,-0.105,0.382
random intercept mean transformed_MMSE_loss,CN,-0.856,0.039,-0.922,-0.791
random intercept mean transformed_MMSE_loss,MCI,0.031,0.05,-0.053,0.114
random intercept mean transformed_MMSE_loss,AD,0.677,0.048,0.598,0.756
random slope mean transformed_MMSE_loss,CN,0.019,0.017,-0.009,0.047
random slope mean transformed_MMSE_loss,MCI,0.153,0.02,0.12,0.185
random slope mean transformed_MMSE_loss,AD,0.307,0.033,0.253,0.361
random intercept mean FSLong,CN,6.7,0.056,6.606,6.792
random intercept mean FSLong,MCI,5.86,0.086,5.716,6.001
random intercept mean FSLong,AD,5.296,0.106,5.123,5.467
random slope mean FSLong,CN,-0.063,0.009,-0.078,-0.048
random slope mean FSLong,MCI,-0.174,0.009,-0.19,-0.16
random slope mean FSLong,AD,-0.252,0.016,-0.279,-0.225
random intercept sd transformed_MMSE_loss,CN,0.237,0.033,0.183,0.291
random intercept sd transformed_MMSE_loss,MCI,0.449,0.028,0.404,0.496
random intercept sd transformed_MMSE_loss,AD,0.315,0.032,0.264,0.368
random slope sd transformed_MMSE_loss,CN,0.056,0.028,0.01,0.104
random slope sd transformed_MMSE_loss,MCI,0.208,0.023,0.17,0.246
random slope sd transformed_MMSE_loss,AD,0.265,0.035,0.208,0.323
random intercept sd FSLong,CN,0.536,0.029,0.491,0.585
random intercept sd FSLong,MCI,0.924,0.037,0.866,0.987
random intercept sd FSLong,AD,0.876,0.055,0.789,0.971
random slope sd FSLong,CN,0.084,0.009,0.069,0.099
random slope sd FSLong,MCI,0.114,0.009,0.099,0.129
random slope sd FSLong,AD,0.084,0.031,0.026,0.129
error/residual sd transformed_MMSE_loss,CN,0.441,0.015,0.417,0.465
error/residual sd transformed_MMSE_loss,MCI,0.409,0.011,0.392,0.426
error/residual sd transformed_MMSE_loss,AD,0.274,0.015,0.25,0.299
error/residual sd FSLong,CN,0.154,0.006,0.145,0.163
error/residual sd FSLong,MCI,0.163,0.004,0.156,0.171
error/residual sd FSLong,AD,0.174,0.01,0.157,0.192
"random effects correlation 1,2",CN,0.05,0.349,-0.502,0.653
"random effects correlation 1,2",MCI,0.517,0.137,0.286,0.744
"random effects correlation 1,2",AD,0.473,0.168,0.195,0.756
"random effects correlation 1,3",CN,0.212,0.12,0.012,0.41
"random effects correlation 1,3",MCI,-0.305,0.065,-0.41,-0.197
"random effects correlation 1,3",AD,-0.461,0.09,-0.602,-0.308
"random effects correlation 1,4",CN,-0.003,0.185,-0.303,0.307
"random effects correlation 1,4",MCI,-0.457,0.091,-0.602,-0.305
"random effects correlation 1,4",AD,-0.174,0.254,-0.61,0.226
"random effects correlation 2,3",CN,-0.107,0.279,-0.584,0.346
"random effects correlation 2,3",MCI,-0.396,0.089,-0.538,-0.247
"random effects correlation 2,3",AD,-0.169,0.127,-0.374,0.043
"random effects correlation 2,4",CN,-0.509,0.308,-0.892,0.079
"random effects correlation 2,4",MCI,-0.803,0.09,-0.939,-0.643
"random effects correlation 2,4",AD,-0.231,0.256,-0.65,0.197
"random effects correlation 3,4",CN,0.282,0.108,0.105,0.462
"random effects correlation 3,4",MCI,0.281,0.08,0.147,0.411
"random effects correlation 3,4",AD,0.169,0.233,-0.188,0.582
"error/residual correlation 1,2",CN,0.013,0.049,-0.069,0.093
"error/residual correlation 1,2",MCI,0.01,0.037,-0.052,0.071
"error/residual correlation 1,2",AD,-0.002,0.075,-0.125,0.121
